# CALIFAID    GALAXY_NAME              X_CENTER      Y_CENTER      APERTURE(")  
  CALIFA101   NGC1060                  219.427002    216.0119934   30.0         
  CALIFA102   NGC1070                  219.427002    216.0119934   55.0         
  CALIFA103   UGC02222                 219.0720062   219.0720062   20.0         
  CALIFA104   UGC02229                 218.572998    218.572998    55.0         
  CALIFA105   UGC02239                 219.0720062   219.0720062   55.0         
  CALIFA106   MCG-01-08-008            218.572998    218.572998    55.0         
  CALIFA107   NGC1094                  219.9279938   218.2160034   35.0         
  CALIFA108   NGC1093                  219.9279938   218.2160034   55.0         
  CALIFA109   UGC02311                 219.9279938   218.2160034   55.0         
  CALIFA110   UGC02319                 219.9279938   218.2160034   55.0         
  CALIFA111   MCG-02-08-014            219.9279938   218.2160034   55.0         
  CALIFA112   NGC1132                  223.3500061   218.2160034   55.0         
  CALIFA113   UGC02367                 220.2799988   217.7189941   55.0         
  CALIFA114   NGC1142                  225.0610046   220.7830048   60.0         
  CALIFA115   UGC02403                 220.7830048   217.3609924   55.0         
  CALIFA116   UGC02405                 220.7830048   217.3609924   55.0         
  CALIFA117   UGC02443                 155.4129944   216.8659973   55.0         
  CALIFA118   UGC02465                 218.572998    211.7449951   55.0         
  CALIFA119   NGC1167                  221.6390076   218.2160034   55.0         
  CALIFA120   NGC1194                  221.6390076   218.2160034   55.0         
  CALIFA121   NGC1211                  219.9279938   219.9279938   55.0         
  CALIFA122   MCG-01-09-006            219.0720062   219.0720062   55.0         
  CALIFA123   IC0307                   218.572998    218.572998    55.0         
  CALIFA124   UGC02628                 138.6580048   216.5059967   55.0         
  CALIFA125   UGC02690                 221.6390076   219.0720062   55.0         
  CALIFA126   NGC1324                  219.9279938   216.5059967   55.0         
  CALIFA127   NGC1349                  220.2799988   219.4259949   55.0         
  CALIFA128   NGC1361                  220.2799988   216.8659973   55.0         
  CALIFA129   MCG-01-10-015            221.6390076   216.5059967   55.0         
  CALIFA130   MCG-01-10-019            220.2799988   218.572998    55.0         
  CALIFA131   NGC1542                  220.7830048   219.0720062   55.0         
  CALIFA132   UGC03038                 220.2799988   218.572998    55.0         
  CALIFA133   UGC03107                 220.7830048   219.0720062   55.0         
  CALIFA134   NGC1645                  222.8410034   218.572998    55.0         
  CALIFA135   UGC03151                 222.4940033   219.0720062   55.0         
  CALIFA136   NGC1656                  217.3609924   219.927002    55.0         
  CALIFA137   NGC1659                  222.4940033   218.2160034   55.0         
  CALIFA138   NGC1665                  219.0720062   218.2160034   55.0         
  CALIFA139   NGC1666                  112.1389999   216.5059967   30.0         
  CALIFA140   NGC1667                  221.1340027   216.8659973   55.0         
  CALIFA141   IC2095                   221.9869995   216.8659973   55.0         
  CALIFA142   IC2098                   218.572998    217.7189941   55.0         
  CALIFA143   NGC1677                  218.5899963   219.1499939   55.0         
  CALIFA144   IC2101                   219.0720062   219.927002    55.0         
  CALIFA145   ARP180                   218.572998    219.4259949   25.0         
  CALIFA146   UGC03253                 219.427002    167.3619995   55.0         
  CALIFA147   NGC2253                  221.9869995   218.572998    55.0         
  CALIFA148   UGC03539                 219.427002    216.8659973   55.0         
  CALIFA149   NGC2347                  219.427002    217.7189941   55.0         
  CALIFA150   UGC03899                 218.2169952   133.5249939   25.0         
  CALIFA151   NGC2410                  220.7830048   217.3609924   55.0         
  CALIFA152   UGC03944                 221.6390076   219.927002    55.0         
  CALIFA153   UGC03969                 221.6390076   218.2160034   55.0         
  CALIFA154   UGC03973                 221.6390076   218.2160034   65.0         
  CALIFA155   UGC03995                 221.1340027   217.7189941   55.0         
  CALIFA156   NGC2449                  221.6390076   218.2160034   55.0         
  CALIFA157   UGC04029                 218.2169952   217.3609924   55.0         
  CALIFA158   UGC04054                 219.9279938   217.3609924   55.0         
  CALIFA159   IC0480                   219.0720062   217.3609924   55.0         
  CALIFA160   NGC2476                  219.9279938   218.2160034   55.0         
  CALIFA161   NGC2480                  219.427002    214.3049927   35.0         
  CALIFA162   NGC2481                  220.7830048   216.5059967   20.0         
  CALIFA163   NGC2486                  219.0720062   217.3609924   55.0         
  CALIFA164   NGC2487                  223.3500061   213.9389954   3.0          
  CALIFA165   UGC04132                 220.7830048   218.2160034   55.0         
  CALIFA166   UGC04140                 219.427002    215.1589966   55.0         
  CALIFA167   UGC04145                 218.2169952   220.7830048   55.0         
  CALIFA168   UGC04136                 217.7200012   220.2799988   55.0         
  CALIFA169   IC0485                   220.7830048   218.2160034   40.0         
  CALIFA170   NGC2507                  221.6390076   214.7949982   55.0         
  CALIFA171   NGC2513                  219.9279938   220.7830048   55.0         
  CALIFA172   UGC04176                 217.3609924   218.2160034   55.0         
  CALIFA173   UGC04190                 221.1340027   222.8399963   55.0         
  CALIFA174   UGC04197                 219.9279938   219.927002    55.0         
  CALIFA175   UGC04210                 220.7830048   217.3609924   55.0         
  CALIFA176   UGC04195                 220.2799988   216.8659973   55.0         
  CALIFA177   NGC2522                  217.7200012   216.8659973   55.0         
  CALIFA178   UGC04233                 220.2799988   217.7189941   55.0         
  CALIFA179   NGC2530                  223.6940002   214.3049927   55.0         
  CALIFA180   UGC04240                 219.427002    218.572998    55.0         
  CALIFA181   UGC04245                 218.572998    220.2799988   55.0         
  CALIFA182   UGC04258                 219.9279938   219.0720062   55.0         
  CALIFA183   NGC2540                  219.9279938   219.0720062   55.0         
  CALIFA184   NGC2543                  221.1340027   214.3049927   60.0         
  CALIFA185   UGC04280                 219.0720062   219.0720062   50.0         
  CALIFA186   IC2247                   219.9279938   219.0720062   50.0         
  CALIFA187   UGC04308                 218.572998    219.4259949   55.0         
  CALIFA188   NGC2553                  221.9869995   216.0119934   55.0         
  CALIFA189   NGC2554                  220.7830048   217.3609924   30.0         
  CALIFA190   UGC04262                 218.2169952   217.3609924   55.0         
  CALIFA191   NGC2558                  220.7830048   217.3609924   55.0         
  CALIFA192   NGC2565                  217.7200012   215.1589966   55.0         
  CALIFA193   UGC04323                 218.572998    220.2799988   55.0         
  CALIFA194   NGC2572                  220.7830048   218.2160034   55.0         
  CALIFA195   NGC2577                  220.2799988   217.7189941   55.0         
  CALIFA196   UGC04375                 218.572998    216.8659973   50.0         
  CALIFA197   IC2341                   217.7200012   220.2799988   55.0         
  CALIFA198   UGC04386                 217.7200012   220.2799988   55.0         
  CALIFA199   IC2361                   220.7830048   220.7830048   55.0         
  CALIFA200   UGC04405                 218.2169952   216.5059967   55.0         
  CALIFA201   NGC2592                  225.0610046   218.2160034   55.0         
  CALIFA202   UGC04416                 217.7200012   217.7189941   55.0         
  CALIFA203   NGC2596                  216.0130005   213.4519958   55.0         
  CALIFA204   NGC2595                  218.572998    216.8659973   60.0         
  CALIFA205   UGC04425                 219.427002    170.776001    55.0         
  CALIFA206   NGC2598                  218.2169952   217.3609924   55.0         
  CALIFA207   UGC04464                 216.0130005   216.0119934   55.0         
  CALIFA208   UGC04461                 216.8659973   219.4259949   50.0         
  CALIFA209   NGC2604                  222.8410034   80.3040009    45.0         
  CALIFA210   UGC04468                 216.8659973   217.7189941   55.0         
  CALIFA211   UGC04505                 217.3609924   220.7830048   55.0         
  CALIFA212   NGC2620                  216.8659973   216.8659973   55.0         
  CALIFA213   NGC2623                  217.7200012   221.1329956   65.0         
  CALIFA214   UGC04515                 216.8659973   213.4519958   55.0         
  CALIFA215   UGC04532                 219.0720062   219.0720062   55.0         
  CALIFA216   NGC2638                  219.0720062   219.0720062   55.0         
  CALIFA217   UGC04548                 215.6499939   216.5059967   55.0         
  CALIFA218   UGC04550                 218.2169952   219.0720062   55.0         
