cntr_01,dist_x,pang_x,name_01,ra_01,dec_01,pgc_name,pgc,ra,dec,gl_deg,gb_deg,resolution,has_fuv,has_nuv,has_wise1,has_wise2,has_wise3,has_wise4,time_fuv,time_nuv,afuv,anuv,rms_fuv,std_fuv,rms_nuv,std_nuv,rms_wise1,std_wise1,rms_wise2,std_wise2,rms_wise3,std_wise3,rms_wise4,std_wise4,sat_effects_fuv,star_area_fuv,star_flux_fuv,star_flag_fuv,sat_effects_nuv,star_area_nuv,star_flux_nuv,star_flag_nuv,sat_effects_wise1,star_area_wise1,star_flux_wise1,star_flag_wise1,sat_effects_wise2,star_area_wise2,star_flux_wise2,star_flag_wise2,sat_effects_wise3,star_area_wise3,star_flux_wise3,star_flag_wise3,sat_effects_wise4,star_area_wise4,star_flux_wise4,star_flag_wise4,galaxy_mask_overlap,galaxy_overlap_flag,flux_fuv,rms_flux_fuv,std_flux_fuv,flux_nuv,rms_flux_nuv,std_flux_nuv,flux_wise1,rms_flux_wise1,std_flux_wise1,flux_wise2,rms_flux_wise2,std_flux_wise2,flux_wise3,rms_flux_wise3,std_flux_wise3,flux_wise4,rms_flux_wise4,std_flux_wise4,dist_mpc,e_dist_dex,mtol,method_mtol,logmass,e_logmass,logsfr,e_logsfr,method_sfr,deltams,absbtc,complete_sample,summary_url
55,0.013212,107.440947,NGC5406,2.1008381250E+02,3.8915429300E+01,PGC49847,49847,210.083817,38.915428,76.633675,71.416122,gauss15,1,1,1,1,1,1,321.6,320.5,0.100,0.100,1.0845E-04,1.4665E-04,1.3840E-04,2.2282E-04,0.00329,0.01081,0.00390,0.00739,1.4634E-02,1.9517E-02,1.1585E-01,1.2286E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,1.7210E-03,1.2949E-06,1.6339E-06,2.5170E-03,1.5689E-06,2.2993E-06,6.6516E-02,1.8250E-05,1.0012E-04,3.7829E-02,2.8200E-05,6.9395E-05,8.7370E-02,3.1587E-04,3.5620E-04,1.0773E-01,1.1272E-03,1.1953E-03,81.997,0.077,0.484,SSFRLIKE,11.15,0.10,0.51,0.20,FUV+WISE4,-0.14,-21.767,0,"<a href=""/data/WISE/z0MGS/images/PGC49847.html"">Summary</a>"
56,0.144393,-170.002049,NGC5480,2.1158994600E+02,5.0725144800E+01,PGC50312,50312,211.589935,50.725105,96.866737,62.442638,gauss15,0,0,1,1,1,1,null,null,null,null,null,null,null,null,0.00268,0.14190,0.00277,0.07703,1.4410E-02,3.1299E-02,1.0512E-01,1.1910E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.036,0.012,0,0,0.015,0.004,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,null,null,null,null,null,null,6.8173E-02,1.3438E-05,9.5997E-04,4.3828E-02,2.3582E-05,5.3025E-04,2.7977E-01,2.8237E-04,3.8749E-04,4.0992E-01,1.0544E-03,1.1946E-03,30.500,0.125,0.200,W4W1,9.92,0.10,0.16,0.20,WISE4,null,-19.957,1,"<a href=""/data/WISE/z0MGS/images/PGC50312.html"">Summary</a>"
57,0.031392,67.050949,NGC5485,2.1179727300E+02,5.5001621700E+01,PGC50369,50369,211.797287,55.001625,101.803040,58.909656,gauss15,1,1,1,1,1,1,1616.7,1249.5,0.134,0.134,6.8241E-05,3.8129E-04,1.1180E-04,8.3341E-04,0.00352,0.03381,0.00369,0.01906,1.3471E-02,1.7990E-02,1.0526E-01,1.1217E-01,0,0.000,0.000,0,0,0.015,0.008,0,0,0.026,0.006,0,0,0.018,0.004,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,2.7986E-04,9.9778E-07,3.6720E-06,9.5231E-04,1.3697E-06,1.0208E-05,1.7456E-01,2.3510E-05,4.1148E-04,9.3957E-02,3.5138E-05,2.3392E-04,4.4432E-02,3.8520E-04,4.3005E-04,3.9901E-02,1.4106E-03,1.5032E-03,25.900,0.060,0.500,SSFRLIKE,10.58,0.10,-1.01,0.20,FUV+WISE4,null,-19.762,1,"<a href=""/data/WISE/z0MGS/images/PGC50369.html"">Summary</a>"
58,0.150360,157.545267,NGC5520,2.1309503700E+02,5.0348484500E+01,PGC50728,50728,213.095062,50.348446,94.766495,62.121960,gauss15,1,1,1,1,1,1,81.0,1629.3,0.155,0.155,2.7394E-04,3.3543E-04,8.2129E-05,5.9012E-04,0.00211,0.03658,0.00278,0.02100,1.3700E-02,4.4342E-02,1.0900E-01,1.3372E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,2.3775E-03,1.9622E-06,3.0436E-06,3.7351E-03,6.9173E-07,4.3142E-06,4.3434E-02,9.4322E-06,2.7352E-04,2.7136E-02,1.7005E-05,1.5896E-04,1.4961E-01,2.2338E-04,3.8159E-04,2.2128E-01,8.2837E-04,1.0162E-03,30.500,0.125,0.315,SSFRLIKE,9.92,0.10,-0.09,0.20,FUV+WISE4,0.08,-19.646,1,"<a href=""/data/WISE/z0MGS/images/PGC50728.html"">Summary</a>"
59,0.514320,-122.708408,NGC5614,2.1603176250E+02,3.4858929600E+01,PGC51439,51439,216.031616,34.858852,59.957214,68.748329,gauss15,1,1,1,1,1,1,252.0,12487.9,0.134,0.134,1.4044E-04,3.0557E-04,1.2968E-04,3.6266E-03,0.00256,0.10127,0.00290,0.05581,1.4905E-02,4.4791E-02,1.1471E-01,1.4189E-01,0,0.000,0.000,0,0,0.043,0.066,0,0,0.077,0.112,0,0,0.059,0.098,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,9.2922E-04,2.6216E-06,4.2326E-06,1.7807E-03,1.2309E-06,4.9647E-05,1.4730E-01,2.2519E-05,1.4942E-03,8.3434E-02,3.9432E-05,8.3310E-04,1.6481E-01,4.8118E-04,7.7139E-04,1.4333E-01,1.7253E-03,2.1342E-03,60.506,0.105,0.500,SSFRLIKE,11.25,0.10,0.28,0.20,FUV+WISE4,-0.44,-21.547,0,"<a href=""/data/WISE/z0MGS/images/PGC51439.html"">Summary</a>"
60,0.506795,47.998771,NGC5633,2.1686804400E+02,4.6146428300E+01,PGC51620,51620,216.868195,46.146523,84.338448,63.134518,gauss15,0,0,1,1,1,1,null,null,null,null,null,null,null,null,0.00278,0.03892,0.00225,0.02056,1.3217E-02,1.7870E-02,1.0728E-01,1.1683E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,null,null,null,null,null,null,5.8760E-02,7.3485E-06,1.9558E-04,3.6656E-02,1.3299E-05,1.0433E-04,2.2012E-01,1.6271E-04,1.8894E-04,3.0400E-01,6.2321E-04,6.7869E-04,36.500,0.125,0.214,W4W1,10.04,0.10,0.19,0.20,WISE4,null,-20.064,1,"<a href=""/data/WISE/z0MGS/images/PGC51620.html"">Summary</a>"
61,0.144887,-72.652666,NGC5657,2.1768174600E+02,2.9180741700E+01,PGC51850,51850,217.681702,29.180754,44.134834,68.059494,gauss15,1,1,1,1,1,1,2082.4,1977.2,0.159,0.159,6.4782E-05,1.6659E-04,8.0046E-05,4.8955E-04,0.00274,0.05241,0.00346,0.02825,1.2754E-02,1.7329E-02,9.1779E-02,1.0482E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,8.5520E-04,5.8766E-07,1.2806E-06,1.2850E-03,6.9495E-07,3.4030E-06,2.9191E-02,1.2384E-05,4.2165E-04,1.8523E-02,2.1710E-05,2.2924E-04,8.1251E-02,2.1854E-04,2.5182E-04,1.7146E-01,7.5257E-04,8.5953E-04,61.122,0.104,0.314,SSFRLIKE,10.35,0.10,0.35,0.20,FUV+WISE4,0.23,-20.258,0,"<a href=""/data/WISE/z0MGS/images/PGC51850.html"">Summary</a>"
62,0.787949,-29.658419,NGC5682,2.1868800000E+02,4.8669533300E+01,PGC52107,52107,218.687836,48.669724,87.017242,60.626328,gauss15,1,1,1,1,1,1,1558.7,2368.4,0.282,0.282,8.4647E-05,2.8585E-03,7.3582E-05,5.4245E-03,0.00355,0.05304,0.00344,0.04363,1.2624E-02,1.4459E-01,1.2257E-01,4.3310E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,9.5903E-04,4.1075E-07,1.2705E-05,1.4230E-03,3.6155E-07,2.3640E-05,8.3251E-03,7.8526E-06,2.0196E-04,5.0209E-03,1.1877E-05,1.7437E-04,1.9457E-02,1.3665E-04,6.3505E-04,3.5196E-02,5.5802E-04,1.9718E-03,38.900,0.125,0.295,SSFRLIKE,9.39,0.10,-0.54,0.20,FUV+WISE4,-0.02,-18.927,1,"<a href=""/data/WISE/z0MGS/images/PGC52107.html"">Summary</a>"
63,0.197220,-34.772999,NGC5732,2.2016245500E+02,3.8637684600E+01,PGC52438,52438,220.162415,38.637730,66.660477,64.481399,gauss15,1,1,1,1,1,1,93.1,88.5,0.133,0.133,2.1799E-04,2.7974E-04,2.8514E-04,3.8557E-04,0.00216,0.02752,0.00261,0.01533,1.3157E-02,1.6907E-02,8.8075E-02,1.0024E-01,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,1.2779E-03,1.2333E-06,1.9927E-06,1.8509E-03,2.0719E-06,2.6390E-06,1.3897E-02,7.1765E-06,1.5201E-04,8.5619E-03,1.3267E-05,8.5338E-05,3.6710E-02,1.3967E-04,1.6503E-04,4.8365E-02,5.0681E-04,5.7683E-04,58.157,0.109,0.329,SSFRLIKE,10.00,0.10,-0.06,0.20,FUV+WISE4,0.05,-20.018,0,"<a href=""/data/WISE/z0MGS/images/PGC52438.html"">Summary</a>"
64,0.271275,-11.274058,NGC5784,2.2356856200E+02,4.2557829400E+01,PGC53265,53265,223.568542,42.557903,72.709045,60.695496,gauss15,1,1,1,1,1,1,197.0,154.4,0.188,0.188,1.6971E-04,2.4734E-04,2.0816E-04,4.2098E-04,0.00292,0.02649,0.00349,0.01624,1.1026E-02,1.8424E-02,8.8181E-02,9.7109E-02,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.0000E+00,0,3.8474E-04,2.0880E-06,2.7097E-06,7.6845E-04,2.5874E-06,4.3887E-06,7.3230E-02,1.4740E-05,2.4427E-04,4.1135E-02,2.4122E-05,1.5185E-04,5.9653E-02,2.3799E-04,2.8652E-04,5.4829E-02,8.7102E-04,9.5921E-04,81.997,0.077,0.500,SSFRLIKE,11.21,0.10,0.13,0.20,FUV+WISE4,null,-21.089,0,"<a href=""/data/WISE/z0MGS/images/PGC53265.html"">Summary</a>"
