Name,ID,W1_Flux_Jy,e_W1_Flux_Jy,W2_Flux_Jy,e_W2_Flux_Jy,W3_Flux_Jy,e_W3_Flux_Jy,W4_Flux_Jy,e_W4_Flux_Jy,W1_Vega_mag,e_W1_Vega_mag,W2_Vega_mag,e_W2_Vega_mag,W3_Vega_mag,e_W3_Vega_mag,W4_Vega_mag,e_W4_Vega_mag,W1_AB_mag,e_W1_AB_mag,W2_AB_mag,e_W2_AB_mag,W3_AB_mag,e_W3_AB_mag,W4_AB_mag,e_W4_AB_mag
2MASXJ01331766+1319567,56,0.007725972213928926,0.0001423176675894316,0.004465801202993733,0.00012339464733945898,0.009955996392363133,0.0001833962310316628,0.014049444455911301,0.0007764009928567008,11.50690909090909,0.02,11.462727272727275,0.030000000000000006,8.756545454545455,0.02,6.936757362765325,0.059999999999999984,14.20590909090909,2.719,14.801727272727275,3.3689999999999998,13.930545454545456,5.194,13.556757362765325,6.68
2MASXJ09065870,3020,0.007797459754656015,7.18172583771678e-05,0.004264807039504638,7.85606489092756e-05,0.0016522841263261465,6.087239677870842e-05,0.001818273258952301,0.00021770990285477007,11.496909090909092,0.01,11.512727272727272,0.020000000000000004,10.706545454545452,0.04000000000000001,9.156757362765322,0.12999999999999998,14.195909090909092,2.7089999999999996,14.851727272727272,3.359,15.880545454545452,5.214,15.776757362765323,6.75
ARP118,2943,0.027036666368598024,0.00024901689977834907,0.017778674811782413,0.00016374764637919564,0.0701592165236021,0.0,0.09282375900167246,0.001709876830023383,10.14690909090909,0.009999999999999998,9.962727272727275,0.01,6.636545454545456,0.0,4.886757362765325,0.02,12.84590909090909,2.7089999999999996,13.301727272727275,3.3489999999999998,11.810545454545457,5.174,11.506757362765324,6.64
ARP180,145,0.012587895876439098,0.00011593880558899955,0.007343437219702137,0.0001352711125873903,0.01032962916485836,0.00019027880104927517,0.005440754772453283,0.0005011120333474856,10.976909090909093,0.01,10.922727272727272,0.020000000000000004,8.716545454545455,0.02,7.966757362765326,0.09999999999999999,13.675909090909093,2.7089999999999996,14.261727272727272,3.359,13.890545454545457,5.194,14.586757362765326,6.72
ARP220,802,0.057010275785180364,0.000525084044681743,0.046762679295747935,0.00043070019301940195,0.622421707387867,0.0,4.826798306406161,0.0,9.336909090909092,0.010000000000000002,8.912727272727274,0.009999999999999998,4.266545454545455,0.0,0.5967573627653243,0.0,12.035909090909092,2.7089999999999996,12.251727272727274,3.3489999999999998,9.440545454545456,5.174,7.216757362765325,6.62
BKD2008WR346,1003,0.0048747589116283525,8.97963776148426e-05,0.00252289622173243,6.971019877598511e-05,0.004509046671630443,8.305970919768542e-05,0.0075103322754575645,0.00041503629938161534,12.00690909090909,0.02,12.082727272727272,0.029999999999999992,9.616545454545454,0.02,7.616757362765325,0.06,14.70590909090909,2.719,15.421727272727273,3.3689999999999998,14.790545454545455,5.194,14.236757362765324,6.68
CGCG163-062,2752,0.0035641267628505743,6.565364122944686e-05,0.0018962665594861189,5.2395781346590126e-05,0.005129614526698101,9.449099153584605e-05,0.0033087134105030695,0.00027426939033649885,12.34690909090909,0.02,12.392727272727274,0.029999999999999992,9.476545454545457,0.02,8.506757362765324,0.09000000000000001,15.04590909090909,2.719,15.731727272727275,3.3689999999999998,14.650545454545458,5.194,15.126757362765325,6.71
CGCG242-073,3026,0.013303108766379279,0.00012252615974377336,0.007143308168445682,0.00013158459922660504,0.0024326785767611035,6.721739312275305e-05,0.0018692145446504973,0.00020659322621375466,10.91690909090909,0.01,10.952727272727273,0.020000000000000004,10.286545454545454,0.029999999999999992,9.126757362765327,0.12,13.61590909090909,2.7089999999999996,14.291727272727274,3.359,15.460545454545453,5.204000000000001,15.746757362765326,6.74
CGCG251-041,3037,0.009726422750930759,8.958366413780523e-05,0.005127425824102407,9.445067414408729e-05,0.0035816630829656067,6.597667218370962e-05,0.0020876570271370198,0.00023073638159855846,11.25690909090909,0.010000000000000002,11.312727272727273,0.02,9.866545454545454,0.02,9.006757362765326,0.12,13.95590909090909,2.7089999999999996,14.651727272727273,3.359,15.040545454545455,5.194,15.626757362765325,6.74
CGCG429-012,3040,0.0002443166933518908,0.0001597670332071918,8.201615143069168e-05,4.9856180264629977e-05,0.000396355355380451,0.0002555397411916675,0.0010463070501933386,0.0006360317083480151,15.25690909090909,0.7100000000000001,15.802727272727275,0.6599999999999999,12.256545454545456,0.7000000000000001,9.756757362765324,0.6599999999999999,17.95590909090909,3.409,19.141727272727273,3.9989999999999997,17.430545454545456,5.8740000000000006,16.376757362765325,7.28
CGCG536-030,2052,0.003907987283756039,7.19877861054956e-05,0.0022176825865303693,6.127683437684767e-05,0.007981503906924379,7.351236766303126e-05,0.0063629593930725715,0.00041023515248282975,12.246909090909092,0.020000000000000004,12.222727272727273,0.029999999999999992,8.996545454545457,0.010000000000000002,7.796757362765325,0.07000000000000002,14.945909090909092,2.719,15.561727272727273,3.3689999999999998,14.170545454545458,5.184,14.416757362765324,6.69
ESO539-G014,15,0.009816420232578782,0.00018082514315280842,0.006337228787476468,0.0001167360682954884,0.00986471926879053,0.00018171484427910564,0.006662836430574922,0.0005523029223155811,11.246909090909092,0.020000000000000004,11.082727272727272,0.020000000000000004,8.766545454545456,0.020000000000000004,7.746757362765324,0.09000000000000001,13.945909090909092,2.719,14.421727272727273,3.359,13.940545454545457,5.194,14.366757362765323,6.71
ESO540-G003,19,0.058070175945374884,0.0005348460859174466,0.03147019155134836,0.00028985117575920763,0.043459500509924795,0.00040027679209247985,0.03130827585327356,0.0011534395082734904,9.316909090909093,0.010000000000000002,9.342727272727274,0.010000000000000002,7.156545454545455,0.01,6.066757362765324,0.04000000000000001,12.015909090909092,2.7089999999999996,12.681727272727274,3.3489999999999998,12.330545454545454,5.184,12.686757362765324,6.66
GIN010,3002,,,,,,,,,,,,,,,,,,,,,,,,
IC0159,58,0.014452838237559244,0.000133115559509033,0.008667610487027399,0.0001596632855944652,0.04467707483263843,0.0004114910660328508,0.04962027326754795,0.0013710588184337623,10.82690909090909,0.009999999999999998,10.742727272727272,0.02,7.1265454545454565,0.01,5.566757362765324,0.03,13.52590909090909,2.7089999999999996,14.081727272727273,3.359,12.300545454545457,5.184,12.186757362765324,6.65
IC0208,2077,0.013675812627587021,0.00012595888916344645,0.0072094043851389815,0.0001328021365326954,0.016072547967745026,0.0001480336374278458,0.011263131423087734,0.0005186863703046927,10.886909090909093,0.010000000000000002,10.942727272727272,0.02,8.236545454545457,0.010000000000000002,7.176757362765326,0.05,13.585909090909093,2.7089999999999996,14.281727272727272,3.359,13.410545454545456,5.184,13.796757362765327,6.67
IC0307,123,0.035641267628505745,0.0003282682061472343,0.019856348491521767,0.00018288372815149134,0.04809331690407225,0.00044295581830382133,0.04051904041227562,0.0014927766149716668,9.84690909090909,0.01,9.842727272727274,0.01,7.046545454545456,0.01,5.786757362765326,0.04000000000000001,12.54590909090909,2.7089999999999996,13.181727272727274,3.3489999999999998,12.220545454545457,5.184,12.406757362765326,6.66
IC0480,159,0.024431669335189077,0.0002250239904326645,0.017615678941374446,0.00016224639893351177,0.12885009128487407,0.0,0.13541262332400208,0.0024943927029525206,10.25690909090909,0.01,9.972727272727273,0.010000000000000002,5.976545454545457,0.0,4.476757362765324,0.020000000000000004,12.95590909090909,2.7089999999999996,13.311727272727273,3.3489999999999998,11.150545454545458,5.174,11.096757362765324,6.64
IC0485,169,0.01958633335796248,0.00018039679686582567,0.011854940712144253,0.0002183760780968926,0.042666275230294634,0.0003929709172754301,0.0436173374934762,0.0016069220977370973,10.496909090909092,0.01,10.402727272727272,0.02,7.1765454545454554,0.01,5.706757362765326,0.04,13.195909090909092,2.7089999999999996,13.741727272727273,3.359,12.350545454545456,5.184,12.326757362765326,6.66
