# WISE photometry of the Extended CALIFA sample 
# W_V=in Vega mags and W_AB=in AB mags
# Galaxy_Name   W1_V    W1_V_e    W2_V   W2_V_e     W3_V  W3_V_e     W4_V  W4_V_e   W1_AB  W1_AB_e   W2_AB  W2_AB_e   W3_AB  W3_AB_e   W4_AB  W4_AB_e
    CALIFA182   12.460  16.480   12.276  15.884   10.840  14.025    8.273  10.586   15.143  19.163   15.595  19.203   16.082  19.267   14.877  17.190
    CALIFA183   10.511  15.519   10.389  14.957    6.801  12.370    4.580   8.802   13.194  18.202   13.708  18.276   12.043  17.612   11.184  15.406
    CALIFA184    9.212  14.867    9.114  14.322    5.756  11.843    3.836   8.429   11.895  17.550   12.433  17.641   10.998  17.085   10.440  15.033
    CALIFA185   10.369  15.447   10.250  14.885    7.344  12.621    5.361   9.189   13.052  18.130   13.569  18.204   12.586  17.863   11.965  15.793
    CALIFA186    9.724  15.125    9.592  14.559    6.437  12.175    4.648   8.833   12.407  17.808   12.911  17.878   11.679  17.417   11.252  15.437
    CALIFA187    9.869  15.198    9.813  14.672    6.471  12.195    4.778   8.901   12.552  17.881   13.132  17.991   11.713  17.437   11.382  15.505
    CALIFA188   10.065  15.286   10.107  14.806    9.184  13.217    8.361  10.565   12.748  17.969   13.426  18.125   14.426  18.459   14.965  17.169
    CALIFA189    8.776  14.646    8.788  14.157    6.897  12.391    5.671   9.340   11.459  17.329   12.107  17.476   12.139  17.633   12.275  15.944
    CALIFA190   10.055  15.292   10.043  14.789    7.300  12.619    5.775   9.399   12.738  17.975   13.362  18.108   12.542  17.861   12.379  16.003
    CALIFA191    9.729  15.126    9.741  14.634    7.396  12.639    5.965   9.484   12.412  17.809   13.060  17.953   12.638  17.881   12.569  16.088
    CALIFA192    9.066  14.797    9.094  14.312    7.027  12.416    5.490   9.246   11.749  17.480   12.413  17.631   12.269  17.658   12.094  15.850
    CALIFA193    9.670  15.100    9.642  14.586    8.286  13.026    6.689   9.838   12.353  17.783   12.961  17.905   13.528  18.268   13.293  16.442
    CALIFA194   10.638  15.585   10.637  15.088    8.612  13.264    7.291  10.156   13.321  18.268   13.956  18.407   13.854  18.506   13.895  16.760
    CALIFA195    8.976  14.753    9.029  14.282    8.133  12.959    6.961   9.945   11.659  17.436   12.348  17.601   13.375  18.201   13.565  16.549
    CALIFA196    8.659  14.595    8.666  14.101    6.671  12.288    5.223   9.118   11.342  17.278   11.985  17.420   11.913  17.530   11.827  15.722
    CALIFA197   10.232  15.378   10.235  14.878    9.139  13.342    7.772  10.329   12.915  18.061   13.554  18.197   14.381  18.584   14.376  16.933
    CALIFA198    9.499  15.012    9.427  14.476    6.489  12.200    4.967   8.992   12.182  17.695   12.746  17.795   11.731  17.442   11.571  15.596
    CALIFA199   10.828  15.675   10.803  15.161    7.587  12.731    5.664   9.338   13.511  18.358   14.122  18.480   12.829  17.973   12.268  15.942
    CALIFA200   10.087  15.305   10.104  14.813    7.570  12.682    6.236   9.608   12.770  17.988   13.423  18.132   12.812  17.924   12.840  16.212
    CALIFA201    9.068  14.798    9.121  14.328    8.758  13.139    7.974  10.425   11.751  17.481   12.440  17.647   14.000  18.381   14.578  17.029
    CALIFA202    9.547  15.030    9.478  14.498    6.350  12.121    4.181   8.601   12.230  17.713   12.797  17.817   11.592  17.363   10.785  15.205
    CALIFA203   10.136  15.327   10.039  14.780    6.633  12.275    5.004   9.012   12.819  18.010   13.358  18.099   11.875  17.517   11.608  15.616
    CALIFA204    9.023  14.772    9.007  14.266    6.200  12.044    4.676   8.843   11.706  17.455   12.326  17.585   11.442  17.286   11.280  15.447
    CALIFA205   11.265  15.892   11.197  15.358    7.667  12.778    5.157   9.089   13.948  18.575   14.516  18.677   12.909  18.020   11.761  15.693
    CALIFA206   10.324  15.423   10.348  14.932    7.910  12.859    5.259   9.138   13.007  18.106   13.667  18.251   13.152  18.101   11.863  15.742
    CALIFA207   11.902  16.195   11.836  15.663    8.635  13.217    6.778   9.895   14.585  18.878   15.155  18.982   13.877  18.459   13.382  16.499
    CALIFA208   10.657  15.590   10.423  14.974    6.880  12.400    4.933   8.978   13.340  18.273   13.742  18.293   12.122  17.642   11.537  15.582
    CALIFA209   10.714  15.594   10.692  15.087    7.254  12.528    5.270   9.141   13.397  18.277   14.011  18.406   12.496  17.770   11.874  15.745
    CALIFA210   10.207  15.361   10.253  14.886    9.967  13.757    8.670  10.765   12.890  18.044   13.572  18.205   15.209  18.999   15.274  17.369
    CALIFA211   10.624  15.576   10.606  15.066    7.852  12.880    6.439   9.725   13.307  18.259   13.925  18.385   13.094  18.122   13.043  16.329
    CALIFA212   10.014  15.266   10.011  14.762    7.824  12.795    6.498   9.738   12.697  17.949   13.330  18.081   13.066  18.037   13.102  16.342
    CALIFA213   10.152  15.324    9.543  14.531    5.539  11.725    2.180   7.604   12.835  18.007   12.862  17.850   10.781  16.967    8.784  14.208
    CALIFA214   10.259  15.386   10.245  14.880    7.631  12.723    6.127   9.564   12.942  18.069   13.564  18.199   12.873  17.965   12.731  16.168
    CALIFA215   12.496  16.503   12.499  15.989   10.106  13.680    8.725  10.817   15.179  19.186   15.818  19.308   15.348  18.922   15.329  17.421
    CALIFA216    9.676  15.098    9.670  14.596    7.784  12.799    6.489   9.738   12.359  17.781   12.989  17.915   13.026  18.041   13.093  16.342
    CALIFA217   11.008  15.762   10.749  15.088    7.292  12.544    5.735   9.363   13.691  18.445   14.068  18.407   12.534  17.786   12.339  15.967
    CALIFA218   10.421  15.467   10.321  14.912    6.996  12.431    5.126   9.069   13.104  18.150   13.640  18.231   12.238  17.673   11.730  15.673
    CALIFA219    8.343  14.437    8.339  13.938    5.990  11.963    4.343   8.682   11.026  17.120   11.658  17.257   11.232  17.205   10.947  15.286
    CALIFA220   10.322  15.422   10.323  14.919    8.593  13.135    7.394  10.169   13.005  18.105   13.642  18.238   13.835  18.377   13.998  16.773
    CALIFA221    9.159  14.845    9.229  14.381    8.739  13.200    7.617  10.257   11.842  17.528   12.548  17.700   13.981  18.442   14.221  16.861
    CALIFA222    9.845  15.183    9.862  14.686    7.395  12.425    5.900   9.439   12.528  17.866   13.181  18.005   12.637  17.667   12.504  16.043
    CALIFA223    9.679  15.100    9.718  14.618    8.710  13.036    8.131  10.430   12.362  17.783   13.037  17.937   13.952  18.278   14.735  17.034
    CALIFA224    9.941  15.235    9.960  14.745    8.730  13.231    6.831   9.911   12.624  17.918   13.279  18.064   13.972  18.473   13.435  16.515
    CALIFA225   10.906  15.716   10.696  15.088    8.060  12.953    6.590   9.795   13.589  18.399   14.015  18.407   13.302  18.195   13.194  16.399
    CALIFA226   12.123  16.300   12.318  15.893   10.661  14.016    8.300  10.612   14.806  18.983   15.637  19.212   15.903  19.258   14.904  17.216
    CALIFA227    9.805  15.168    9.850  14.691    8.811  13.179    7.681  10.314   12.488  17.851   13.169  18.010   14.053  18.421   14.285  16.918
    CALIFA228    8.615  14.570    8.645  14.090    7.791  12.704    6.568   9.778   11.298  17.253   11.964  17.409   13.033  17.946   13.172  16.382
    CALIFA229   10.269  15.397   10.200  14.862    7.032  12.466    5.469   9.243   12.952  18.080   13.519  18.181   12.274  17.708   12.073  15.847
    CALIFA230   11.123  15.822   10.870  15.197    7.635  12.756    4.703   8.864   13.806  18.505   14.189  18.516   12.877  17.998   11.307  15.468
    CALIFA231   12.550  16.463   12.340  15.756   10.084  13.470    7.092   9.981   15.233  19.146   15.659  19.075   15.326  18.712   13.696  16.585
    CALIFA232   10.563  15.546   10.447  14.989    6.901  12.421    5.055   9.039   13.246  18.229   13.766  18.308   12.143  17.663   11.659  15.643
    CALIFA233    9.680  15.103    9.628  14.580    6.786  12.364    5.348   9.185   12.363  17.786   12.947  17.899   12.028  17.606   11.952  15.789
    CALIFA234    9.919  15.222    9.718  14.624    5.710  11.824    3.836   8.430   12.602  17.905   13.037  17.943   10.952  17.066   10.440  15.034
    CALIFA235   11.920  16.208   12.163  15.816    9.659  13.576    9.008  10.876   14.603  18.891   15.482  19.135   14.901  18.818   15.612  17.480
    CALIFA236   10.292  15.408   10.293  14.911    7.590  12.753    5.583   9.304   12.975  18.091   13.612  18.230   12.832  17.995   12.187  15.908
    CALIFA237   10.070  15.299    9.908  14.717    6.592  12.039    4.259   8.639   12.753  17.982   13.227  18.036   11.834  17.281   10.863  15.243
    CALIFA238    9.520  15.025    9.355  14.445    5.573  11.767    3.545   8.287   12.203  17.708   12.674  17.764   10.815  17.009   10.149  14.891
    CALIFA239   11.365  15.940   11.345  15.423    8.411  13.111    6.929   9.962   14.048  18.623   14.664  18.742   13.653  18.353   13.533  16.566
    CALIFA240    9.403  14.962    9.274  14.401    6.053  11.992    4.413   8.718   12.086  17.645   12.593  17.720   11.295  17.234   11.017  15.322
    CALIFA241    9.316  14.923    9.322  14.426    7.589  12.668    6.739   9.861   11.999  17.606   12.641  17.745   12.831  17.910   13.343  16.465
    CALIFA242    8.896  14.712    8.805  14.169    5.142  11.546    3.532   8.279   11.579  17.395   12.124  17.488   10.384  16.788   10.136  14.883
    CALIFA243    9.556  15.044    9.609  14.573    9.132  13.493    8.063  10.526   12.239  17.727   12.928  17.892   14.374  18.735   14.667  17.130
    CALIFA244   11.271  15.892   11.146  15.324    8.948  13.356    6.589   9.796   13.954  18.575   14.465  18.643   14.190  18.598   13.193  16.400
    CALIFA245   10.286  15.408   10.309  14.923    9.149  13.530    8.770  10.885   12.969  18.091   13.628  18.242   14.391  18.772   15.374  17.489
    CALIFA246    9.538  15.020    9.576  14.542    8.780  13.167    8.833  10.858   12.221  17.703   12.895  17.861   14.022  18.409   15.437  17.462
    CALIFA247    9.518  15.021    9.462  14.496    6.920  12.400    5.290   9.149   12.201  17.704   12.781  17.815   12.162  17.642   11.894  15.753
    CALIFA248   10.030  15.275   10.030  14.781    7.768  12.835    6.504   9.754   12.713  17.958   13.349  18.100   13.010  18.077   13.108  16.358
    CALIFA249    9.513  15.008    9.577  14.548    8.556  12.991    7.455  10.149   12.196  17.691   12.896  17.867   13.798  18.233   14.059  16.753
    CALIFA250    9.631  15.079    9.643  14.589    8.119  12.986    6.804   9.900   12.314  17.762   12.962  17.908   13.361  18.228   13.408  16.504
    CALIFA251   10.657  15.590   10.521  15.018    7.192  12.546    4.550   8.786   13.340  18.273   13.840  18.337   12.434  17.788   11.154  15.390
    CALIFA252    9.226  14.875    9.211  14.371    6.696  12.309    5.224   9.121   11.909  17.558   12.530  17.690   11.938  17.551   11.828  15.725
    CALIFA253    9.397  14.960    9.408  14.468    8.880  13.247     -99.  11.539   12.080  17.643   12.727  17.787   14.122  18.489     -99.  18.143
    CALIFA254   10.350  15.439   10.297  14.914    7.213  12.562    5.579   9.297   13.033  18.122   13.616  18.233   12.455  17.804   12.183  15.901
    CALIFA255   10.850  15.690   10.855  15.197   10.355  14.142   10.634  11.810   13.533  18.373   14.174  18.516   15.597  19.384   17.238  18.414
    CALIFA256   10.542  15.535   10.491  15.012    8.125  12.977    6.638   9.814   13.225  18.218   13.810  18.331   13.367  18.219   13.242  16.418
    CALIFA257   10.146  15.338   10.148  14.840    8.809  13.297    7.650  10.304   12.829  18.021   13.467  18.159   14.051  18.539   14.254  16.908
    CALIFA258    9.299  14.902    9.342  14.436    8.708  13.306    7.738  10.364   11.982  17.585   12.661  17.755   13.950  18.548   14.342  16.968
    CALIFA259    9.646  15.088    9.413  14.473    6.427  12.173    4.480   8.751   12.329  17.771   12.732  17.792   11.669  17.415   11.084  15.355
    CALIFA260    9.056  14.725    9.063  14.222    5.803  11.658    4.087   8.513   11.739  17.408   12.382  17.541   11.045  16.900   10.691  15.117
    CALIFA261   10.453  15.489   10.412  14.970    7.187  12.541    5.481   9.249   13.136  18.172   13.731  18.289   12.429  17.783   12.085  15.853
    CALIFA262   11.896  16.212   11.780  15.654    9.066  13.474    7.614  10.314   14.579  18.895   15.099  18.973   14.308  18.716   14.218  16.918
    CALIFA263   10.555  15.539   10.469  14.994    7.168  12.547    5.454   9.237   13.238  18.222   13.788  18.313   12.410  17.789   12.058  15.841
    CALIFA264    9.839  15.185    9.718  14.627    6.029  11.989    4.105   8.566   12.522  17.868   13.037  17.946   11.271  17.231   10.709  15.170
    CALIFA265   10.221  15.375   10.056  14.794    6.574  12.261    3.928   8.478   12.904  18.058   13.375  18.113   11.816  17.503   10.532  15.082
    CALIFA266    9.078  14.801    9.145  14.339    8.508  13.192    7.277  10.147   11.761  17.484   12.464  17.658   13.750  18.434   13.881  16.751
    CALIFA267    8.811  14.638    8.750  14.128    5.630  11.781    3.940   8.482   11.494  17.321   12.069  17.447   10.872  17.023   10.544  15.086
    CALIFA268   11.631  16.065   11.535  15.484    9.539  13.388    9.896  10.890   14.314  18.748   14.854  18.803   14.781  18.630   16.500  17.494
    CALIFA269    9.696  15.107    9.645  14.586    6.326  12.120    4.654   8.837   12.379  17.790   12.964  17.905   11.568  17.362   11.258  15.441
    CALIFA270   12.362  16.439   12.257  15.885    9.473  13.653    7.174  10.093   15.045  19.122   15.576  19.204   14.715  18.895   13.778  16.697
    CALIFA271    8.809  14.666    8.821  14.177    6.631  12.264    5.460   9.237   11.492  17.349   12.140  17.496   11.873  17.506   12.064  15.841
    CALIFA272    8.646  14.586    8.685  14.110    8.282  13.007    8.430  10.644   11.329  17.269   12.004  17.429   13.524  18.249   15.034  17.248
    CALIFA273   10.123  15.324   10.045  14.785    6.854  12.363    5.227   9.119   12.806  18.007   13.364  18.104   12.096  17.605   11.831  15.723
    CALIFA274   10.335  15.430   10.375  14.946    7.827  12.801    6.503   9.736   13.018  18.113   13.694  18.265   13.069  18.043   13.107  16.340
    CALIFA275    8.945  14.738    8.834  14.185    5.957  11.947    4.434   8.726   11.628  17.421   12.153  17.504   11.200  17.189   11.038  15.330
    CALIFA276    9.831  15.178    9.724  14.625    6.412  12.167    4.847   8.933   12.514  17.861   13.043  17.944   11.654  17.409   11.451  15.537
    CALIFA277    9.048  14.789    9.017  14.275    6.042  11.989    4.460   8.741   11.731  17.472   12.336  17.594   11.284  17.231   11.064  15.345
    CALIFA278   10.364  15.446   10.267  14.900    7.150  12.541    4.774   8.899   13.047  18.129   13.586  18.219   12.392  17.783   11.378  15.503
    CALIFA279    9.440  14.984    9.453  14.491    8.711  13.171    7.664  10.300   12.123  17.667   12.772  17.810   13.953  18.413   14.268  16.904
    CALIFA280   10.049  15.288    9.965  14.748    6.648  12.293    5.081   9.052   12.732  17.971   13.284  18.067   11.890  17.535   11.685  15.656
    CALIFA281   10.409  15.466   10.411  14.967    9.559  13.513    8.951  10.892   13.092  18.149   13.730  18.286   14.801  18.755   15.555  17.496
    CALIFA282    9.915  15.219    9.889  14.705    7.300  12.547    5.894   9.444   12.598  17.902   13.208  18.024   12.542  17.789   12.498  16.048
    CALIFA283   10.180  15.352   10.017  14.773    6.262  12.099    4.462   8.742   12.863  18.035   13.336  18.092   11.504  17.341   11.066  15.346
    CALIFA284    9.227  14.879    9.114  14.325    5.765  11.856    4.106   8.565   11.910  17.562   12.433  17.644   11.007  17.098   10.710  15.169
    CALIFA285    9.209  14.847    9.297  14.403    9.071  13.173    8.337  10.507   11.892  17.530   12.616  17.722   14.313  18.415   14.941  17.111
    CALIFA286   10.641  15.585   10.577  15.055    7.258  12.599    5.756   9.389   13.324  18.268   13.896  18.374   12.500  17.841   12.360  15.993
    CALIFA287    9.795  15.162    9.615  14.575    6.151  12.050    4.616   8.819   12.478  17.845   12.934  17.894   11.393  17.292   11.220  15.423
    CALIFA288    9.335  14.931    9.347  14.440    8.706  13.228    7.874  10.397   12.018  17.614   12.666  17.759   13.948  18.470   14.478  17.001
    CALIFA289   11.654  16.090   11.491  15.511    7.883  12.918    6.129   9.577   14.337  18.773   14.810  18.830   13.125  18.160   12.733  16.181
    CALIFA290   10.414  15.470   10.261  14.892    6.639  12.281    4.841   8.930   13.097  18.153   13.580  18.211   11.881  17.523   11.445  15.534
    CALIFA291    9.699  15.114    9.575  14.555    6.024  11.987    4.327   8.676   12.382  17.797   12.894  17.874   11.266  17.229   10.931  15.280
    CALIFA292    8.371  14.446    8.409  13.970    7.765  12.744    7.811  10.315   11.054  17.129   11.728  17.289   13.007  17.986   14.415  16.919
    CALIFA293   10.052  15.287   10.120  14.825    9.343  13.494    7.141  10.040   12.735  17.970   13.439  18.144   14.585  18.736   13.745  16.644
    CALIFA294    9.151  14.839    9.149  14.340    6.794  12.350    5.206   9.113   11.834  17.522   12.468  17.659   12.036  17.592   11.810  15.717
    CALIFA295   10.101  15.314   10.056  14.786    6.857  12.381    5.379   9.198   12.784  17.997   13.375  18.105   12.099  17.623   11.983  15.802
    CALIFA296   10.277  15.397   10.231  14.874    7.363  12.594    5.612   9.305   12.960  18.080   13.550  18.193   12.605  17.836   12.216  15.909
    CALIFA297   11.672  16.093   11.579  15.542    8.551  13.197    6.961   9.977   14.355  18.776   14.898  18.861   13.793  18.439   13.565  16.581
    CALIFA298    9.934  15.230    9.860  14.692    7.028  12.434    5.457   9.235   12.617  17.913   13.179  18.011   12.270  17.676   12.061  15.839
    CALIFA299    8.932  14.732    8.809  14.173    5.159  11.559    3.476   8.252   11.615  17.415   12.128  17.492   10.401  16.801   10.080  14.856
    CALIFA300   12.355  16.408   12.140  15.794    9.776  13.630    8.770  10.805   15.038  19.091   15.459  19.113   15.018  18.872   15.374  17.409
    CALIFA301   10.821  15.669   10.886  15.191    7.569  12.685    5.721   9.356   13.504  18.352   14.205  18.510   12.811  17.927   12.325  15.960
    CALIFA302    9.493  15.010    9.524  14.527    6.591  12.235    4.704   8.857   12.176  17.693   12.843  17.846   11.833  17.477   11.308  15.461
    CALIFA303   10.206  15.368   10.082  14.807    6.412  12.181    4.617   8.821   12.889  18.051   13.401  18.126   11.654  17.423   11.221  15.425
    CALIFA304    9.437  14.983    9.386  14.458    6.471  12.197    4.599   8.809   12.120  17.666   12.705  17.777   11.713  17.439   11.203  15.413
    CALIFA305    9.145  14.837    9.171  14.351    8.536  13.007    8.678  10.665   11.828  17.520   12.490  17.670   13.778  18.249   15.282  17.269
    CALIFA306   11.937  16.223   11.958  15.723    9.347  13.512    7.764  10.361   14.620  18.906   15.277  19.042   14.589  18.754   14.368  16.965
    CALIFA307   11.034  15.779   10.902  15.208    7.898  12.883    6.185   9.596   13.717  18.462   14.221  18.527   13.140  18.125   12.789  16.200
    CALIFA308   10.312  15.421   10.287  14.909    6.838  12.387    4.754   8.888   12.995  18.104   13.606  18.228   12.080  17.629   11.358  15.492
    CALIFA309   10.908  15.713   10.877  15.189    7.938  12.879    6.682   9.823   13.591  18.396   14.196  18.508   13.180  18.121   13.286  16.427
    CALIFA310   12.080  16.299   12.164  15.843   10.521  14.133    7.790  10.400   14.763  18.982   15.483  19.162   15.763  19.375   14.394  17.004
    CALIFA311    9.445  14.986    9.465  14.499    7.282  12.568    6.261   9.623   12.128  17.669   12.784  17.818   12.524  17.810   12.865  16.227
    CALIFA312   11.098  15.809   11.005  15.264    8.234  13.065    5.978   9.497   13.781  18.492   14.324  18.583   13.476  18.307   12.582  16.101
    CALIFA313    9.787  15.159    9.715  14.626    6.727  12.336    5.276   9.150   12.470  17.842   13.034  17.945   11.969  17.578   11.880  15.754
    CALIFA314   10.233  15.380   10.033  14.782    7.611  12.748    6.049   9.525   12.916  18.063   13.352  18.101   12.853  17.990   12.653  16.129
    CALIFA315   10.109  15.315   10.056  14.788    7.112  12.487    5.250   9.132   12.792  17.998   13.375  18.107   12.354  17.729   11.854  15.736
    CALIFA316   10.055  15.292   10.072  14.798    9.430  13.482    7.698  10.318   12.738  17.975   13.391  18.117   14.672  18.724   14.302  16.922
    CALIFA317   10.473  15.501   10.440  14.985    7.262  12.585    5.565   9.292   13.156  18.184   13.759  18.304   12.504  17.827   12.169  15.896
    CALIFA318    8.763  14.640    8.801  14.165    7.899  12.854    6.703   9.844   11.446  17.323   12.120  17.484   13.141  18.096   13.307  16.448
    CALIFA319   10.441  15.484   10.278  14.905    7.875  12.896    5.257   9.141   13.124  18.167   13.597  18.224   13.117  18.138   11.861  15.745
    CALIFA320   10.914  15.717   10.844  15.184    7.574  12.743    5.998   9.509   13.597  18.400   14.163  18.503   12.816  17.985   12.602  16.113
    CALIFA321   11.788  16.148   11.682  15.577    8.400  13.081    6.775   9.880   14.471  18.831   15.001  18.896   13.642  18.323   13.379  16.484
    CALIFA322    9.963  15.246    9.981  14.757    9.464  13.553     -99.  11.606   12.646  17.929   13.300  18.076   14.706  18.795     -99.  18.210
    CALIFA323    9.367  14.947    9.364  14.449    7.491  12.694    6.059   9.534   12.050  17.630   12.683  17.768   12.733  17.936   12.663  16.138
    CALIFA324    9.175  14.848    9.226  14.377    8.415  13.056    6.933   9.942   11.858  17.531   12.545  17.696   13.657  18.298   13.537  16.546
    CALIFA325   11.080  15.803   11.099  15.309    7.946  12.918    6.468   9.737   13.763  18.486   14.418  18.628   13.188  18.160   13.072  16.341
    CALIFA326   10.957  15.741   10.870  15.197    7.373  12.639    5.728   9.373   13.640  18.424   14.189  18.516   12.615  17.881   12.332  15.977
    CALIFA327   10.593  15.558   10.589  15.053    7.719  12.790    6.398   9.692   13.276  18.241   13.908  18.372   12.961  18.032   13.002  16.296
    CALIFA328    8.432  14.482    8.478  14.007    8.021  12.877    7.210  10.063   11.115  17.165   11.797  17.326   13.263  18.119   13.814  16.667
    CALIFA329   11.221  15.872   11.069  15.297    7.883  12.847    5.955   9.481   13.904  18.555   14.388  18.616   13.125  18.089   12.559  16.085
    CALIFA330    9.882  15.206    9.870  14.703    8.024  12.947    6.639   9.825   12.565  17.889   13.189  18.022   13.266  18.189   13.243  16.429
    CALIFA331   10.403  15.466   10.323  14.926    7.381  12.649    5.349   9.185   13.086  18.149   13.642  18.245   12.623  17.891   11.953  15.789
    CALIFA332    9.688  15.109    9.640  14.588    6.711  12.317    5.221   9.122   12.371  17.792   12.959  17.907   11.953  17.559   11.825  15.726
    CALIFA333   10.323  15.426   10.331  14.934    9.029  13.435    7.300  10.154   13.006  18.109   13.650  18.253   14.271  18.677   13.904  16.758
    CALIFA334   11.429  15.967   11.401  15.449    8.518  13.162    6.684   9.846   14.112  18.650   14.720  18.768   13.760  18.404   13.288  16.450
    CALIFA335   10.466  15.496   10.335  14.931    6.994  12.466    5.408   9.215   13.149  18.179   13.654  18.250   12.236  17.708   12.012  15.819
    CALIFA336   10.169  15.348    9.601  14.565    6.651  12.283    4.141   8.582   12.852  18.031   12.920  17.884   11.893  17.525   10.745  15.186
    CALIFA337   11.609  16.062   11.573  15.542    8.393  13.130    6.562   9.789   14.292  18.745   14.892  18.861   13.635  18.372   13.166  16.393
    CALIFA338   10.085  15.307    9.975  14.748    6.462  12.130    4.773   8.893   12.768  17.990   13.294  18.067   11.704  17.372   11.377  15.497
    CALIFA339    9.307  14.919    9.366  14.445    8.610  12.854    6.687   9.798   11.990  17.602   12.685  17.764   13.852  18.096   13.291  16.402
    CALIFA340    9.837  15.178    9.870  14.693    8.152  12.935    7.283  10.105   12.520  17.861   13.189  18.012   13.394  18.177   13.887  16.709
    CALIFA341    9.971  15.249   10.003  14.764    8.052  12.910    7.231  10.089   12.654  17.932   13.322  18.083   13.294  18.152   13.835  16.693
    CALIFA342    9.815  15.172    9.802  14.664    7.521  12.680    6.290   9.640   12.498  17.855   13.121  17.983   12.763  17.922   12.894  16.244
    CALIFA343    9.943  15.236    9.820  14.678    6.175  12.068    4.387   8.707   12.626  17.919   13.139  17.997   11.417  17.310   10.991  15.311
    CALIFA344    9.272  14.893    9.281  14.402    8.471  13.055    6.857   9.910   11.955  17.576   12.600  17.721   13.713  18.297   13.461  16.514
    CALIFA345    9.537  15.032    9.579  14.555    8.203  12.939    6.382   9.685   12.220  17.715   12.898  17.874   13.445  18.181   12.986  16.289
    CALIFA346   11.129  15.824   11.035  15.280    8.446  13.180    7.009  10.012   13.812  18.507   14.354  18.599   13.688  18.422   13.613  16.616
    CALIFA347    9.570  15.049    9.621  14.578    8.980  13.356    7.620  10.295   12.253  17.732   12.940  17.897   14.222  18.598   14.224  16.899
    CALIFA348   10.037  15.284    9.907  14.721    6.439  12.188    4.839   8.930   12.720  17.967   13.226  18.040   11.681  17.430   11.443  15.534
    CALIFA349   10.639  15.584   10.671  15.100    9.024  13.423    7.957  10.472   13.322  18.267   13.990  18.419   14.266  18.665   14.561  17.076
    CALIFA350    9.971  15.248    9.905  14.715    6.433  12.185    4.857   8.941   12.654  17.931   13.224  18.034   11.675  17.427   11.461  15.545
    CALIFA351   10.208  15.365   10.162  14.839    7.137  12.504    5.223   9.119   12.891  18.048   13.481  18.158   12.379  17.746   11.827  15.723
    CALIFA352    9.633  15.081    9.624  14.576    8.344  13.050    7.553  10.241   12.316  17.764   12.943  17.895   13.586  18.292   14.157  16.845
    CALIFA353    9.924  15.226    9.872  14.700    6.284  12.107    4.445   8.734   12.607  17.909   13.191  18.019   11.526  17.349   11.049  15.338
    CALIFA354   10.112  15.319   10.230  14.854    7.871  12.764    6.978   9.943   12.795  18.002   13.549  18.173   13.113  18.006   13.582  16.547
    CALIFA355    9.520  15.017    9.333  14.428    5.436  11.686    3.199   8.111   12.203  17.700   12.652  17.747   10.678  16.928    9.803  14.715
    CALIFA356   10.248  15.387   10.158  14.832    6.782  12.334    5.261   9.137   12.931  18.070   13.477  18.151   12.024  17.576   11.865  15.741
    CALIFA357   11.240  15.869   11.086  15.291    7.550  12.694    5.603   9.309   13.923  18.552   14.405  18.610   12.792  17.936   12.207  15.913
    CALIFA358    9.649  15.084    9.607  14.551    7.704  12.752    6.641   9.804   12.332  17.767   12.926  17.870   12.946  17.994   13.245  16.408
    CALIFA359    9.265  14.897    9.245  14.390    6.621  12.282    4.903   8.963   11.948  17.580   12.564  17.709   11.863  17.524   11.507  15.567
    CALIFA360    9.745  15.135    9.782  14.658    8.917  13.359    8.065  10.516   12.428  17.818   13.101  17.977   14.159  18.601   14.669  17.120
    CALIFA361   11.236  15.877   11.236  15.370    8.286  13.020    6.657   9.832   13.919  18.560   14.555  18.689   13.528  18.262   13.261  16.436
    CALIFA362   11.158  15.837   11.054  15.277    8.638  13.138    5.998   9.503   13.841  18.520   14.373  18.596   13.880  18.380   12.602  16.107
    CALIFA363    9.252  14.888    9.295  14.412    8.516  13.074    7.374  10.140   11.935  17.571   12.614  17.731   13.758  18.316   13.978  16.744
    CALIFA364    9.846  15.187    9.849  14.689    8.073  12.923    6.810   9.899   12.529  17.870   13.168  18.008   13.315  18.165   13.414  16.503
    CALIFA365    9.720  15.118    9.741  14.635    9.321  13.180    8.105  10.512   12.403  17.801   13.060  17.954   14.563  18.422   14.709  17.116
    CALIFA366   10.056  15.293   10.080  14.807    9.194  13.489    8.030  10.493   12.739  17.976   13.399  18.126   14.436  18.731   14.634  17.097
    CALIFA367   10.531  15.530   10.437  14.975    7.309  12.592    5.695   9.352   13.214  18.213   13.756  18.294   12.551  17.834   12.299  15.956
    CALIFA368    9.339  14.935    9.126  14.330    5.170  11.564    2.365   7.696   12.022  17.618   12.445  17.649   10.412  16.806    8.969  14.300
    CALIFA369   10.346  15.436   10.324  14.925    7.022  12.480    5.415   9.218   13.029  18.119   13.643  18.244   12.264  17.722   12.019  15.822
    CALIFA370   11.629  16.073   11.579  15.546    9.013  13.356    6.914   9.949   14.312  18.756   14.898  18.865   14.255  18.598   13.518  16.553
    CALIFA371   10.278  15.404   10.217  14.875    7.145  12.537    5.377   9.199   12.961  18.087   13.536  18.194   12.387  17.779   11.981  15.803
    CALIFA372   10.670  15.595   10.450  14.984    7.156  12.498    4.922   8.971   13.353  18.278   13.769  18.303   12.398  17.740   11.526  15.575
    CALIFA373   10.278  15.403   10.204  14.868    7.645  12.774    5.858   9.438   12.961  18.086   13.523  18.187   12.887  18.016   12.462  16.042
