# WISE photometry of the Extended CALIFA sample 
# W_V=in Vega mags and W_AB=in AB mags
# Galaxy_Name   W1_V    W1_V_e    W2_V   W2_V_e     W3_V  W3_V_e     W4_V  W4_V_e   W1_AB  W1_AB_e   W2_AB  W2_AB_e   W3_AB  W3_AB_e   W4_AB  W4_AB_e
    CALIFA043   10.180  15.354   10.038  14.787    6.509  12.235    4.027   8.528   12.863  18.037   13.357  18.106   11.751  17.477   10.631  15.132
    CALIFA044    8.680  14.601    8.733  14.132    8.189  12.975    7.080  10.028   11.363  17.284   12.052  17.451   13.431  18.217   13.684  16.632
    CALIFA045   10.532  15.529   10.397  14.963    6.797  12.369    5.129   9.076   13.215  18.212   13.716  18.282   12.039  17.611   11.733  15.680
    CALIFA046    9.948  15.226    9.987  14.752    9.285  13.424    8.343  10.624   12.631  17.909   13.306  18.071   14.527  18.666   14.947  17.228
    CALIFA047    9.716  15.122    9.760  14.647    8.975  13.403    7.844  10.411   12.399  17.805   13.079  17.966   14.217  18.645   14.448  17.015
    CALIFA048    9.440  14.980    9.338  14.431    6.094  12.020    3.976   8.501   12.123  17.663   12.657  17.750   11.336  17.262   10.580  15.105
    CALIFA049    9.859  15.195    9.765  14.651    7.059  12.500    5.406   9.215   12.542  17.878   13.084  17.970   12.301  17.742   12.010  15.819
    CALIFA050    9.532  15.030    9.549  14.541    8.241  13.044    6.432   9.725   12.215  17.713   12.868  17.860   13.483  18.286   13.036  16.329
    CALIFA051    9.137  14.833    9.189  14.362    8.509  13.201    7.235  10.123   11.820  17.516   12.508  17.681   13.751  18.443   13.839  16.727
    CALIFA052   10.022  15.274    9.981  14.756    6.876  12.407    5.251   9.138   12.705  17.957   13.300  18.075   12.118  17.649   11.855  15.742
    CALIFA053   10.947  15.735   10.885  15.207    7.625  12.780    6.028   9.524   13.630  18.418   14.204  18.526   12.867  18.022   12.632  16.128
    CALIFA054    9.872  15.201    9.891  14.713    8.000  12.958    6.961   9.986   12.555  17.884   13.210  18.032   13.242  18.200   13.565  16.590
    CALIFA055    9.762  15.145    9.812  14.671    9.439  13.475     -99.  11.673   12.445  17.828   13.131  17.990   14.681  18.717     -99.  18.277
    CALIFA056   11.502  16.001   11.463  15.467    8.986  13.303    6.851   9.916   14.185  18.684   14.782  18.786   14.228  18.545   13.455  16.520
    CALIFA057   10.259  15.395   10.315  14.924    8.685  13.279    7.633  10.312   12.942  18.078   13.634  18.243   13.927  18.521   14.237  16.916
    CALIFA058   10.951  15.740   10.872  15.202    7.453  12.696    5.543   9.283   13.634  18.423   14.191  18.521   12.695  17.938   12.147  15.887
    CALIFA059    9.935  15.231    9.984  14.754    9.153  13.359    7.446  10.198   12.618  17.914   13.303  18.073   14.395  18.601   14.050  16.802
    CALIFA060   10.485  15.503   10.456  14.986    7.339  12.609    5.496   9.256   13.168  18.186   13.775  18.305   12.581  17.851   12.100  15.860
    CALIFA061    8.495  14.509    8.433  13.983    5.378  11.661    3.778   8.402   11.178  17.192   11.752  17.302   10.620  16.903   10.382  15.006
    CALIFA062   10.261  15.395   10.278  14.904    9.245  13.443     -99.  11.870   12.944  18.078   13.597  18.223   14.487  18.685     -99.  18.474
    CALIFA063    9.635  15.078    9.678  14.607    9.067  13.486    7.815  10.408   12.318  17.761   12.997  17.926   14.309  18.728   14.419  17.012
    CALIFA064    8.944  14.735    8.805  14.168    5.445  11.699    3.119   8.073   11.627  17.418   12.124  17.487   10.687  16.941    9.723  14.677
    CALIFA065    9.359  14.946    9.128  14.333    5.201  11.582    2.970   7.999   12.042  17.629   12.447  17.652   10.443  16.824    9.574  14.603
    CALIFA066   10.579  15.554   10.539  15.033    7.917  12.899    6.407   9.709   13.262  18.237   13.858  18.352   13.159  18.141   13.011  16.313
    CALIFA067    9.097  14.812    9.136  14.334    8.454  13.068    8.769  10.729   11.780  17.495   12.455  17.653   13.696  18.310   15.373  17.333
    CALIFA068    9.220  14.868    9.267  14.400    8.776  13.358    7.991  10.502   11.903  17.551   12.586  17.719   14.018  18.600   14.595  17.106
    CALIFA069    9.928  15.226    9.865  14.695    6.649  12.282    4.795   8.908   12.611  17.909   13.184  18.014   11.891  17.524   11.399  15.512
    CALIFA070   10.498  15.511   10.547  15.033    8.658  13.256    7.538  10.262   13.181  18.194   13.866  18.352   13.900  18.498   14.142  16.866
